x
agency_cd,site_no,datetime,45311_00060_00003,45311_00060_00003_cd
USGS,13055340,2019-01-01,91.1,P:e
USGS,13055340,2019-01-02,132,P:e
USGS,13055340,2019-01-03,151,P:e
USGS,13055340,2019-01-04,138,P:e
USGS,13055340,2019-01-05,148,P:e
USGS,13055340,2019-01-06,151,P:e
USGS,13055340,2019-01-07,148,P:e
USGS,13055340,2019-01-08,140,P:e
USGS,13055340,2019-01-09,153,P:e
USGS,13055340,2019-01-10,153,P:e
USGS,13055340,2019-01-11,140,P:e
USGS,13055340,2019-01-12,123,P:e
USGS,13055340,2019-01-13,120,P:e
USGS,13055340,2019-01-14,122,P:e
USGS,13055340,2019-01-15,128,P:e
USGS,13055340,2019-01-16,142,P:e
USGS,13055340,2019-01-17,147,P:e
USGS,13055340,2019-01-18,146,P:e
USGS,13055340,2019-01-19,138,P:e
USGS,13055340,2019-01-20,125,P:e
USGS,13055340,2019-01-21,113,P:e
USGS,13055340,2019-01-22,113,P:e
USGS,13055340,2019-01-23,115,P:e
USGS,13055340,2019-01-24,114,P:e
USGS,13055340,2019-01-25,124,P:e
USGS,13055340,2019-01-26,124,P:e
USGS,13055340,2019-01-27,131,P:e
USGS,13055340,2019-01-28,126,P:e
USGS,13055340,2019-01-29,100,P:e
USGS,13055340,2019-01-30,85.2,P:e
USGS,13055340,2019-01-31,91.8,P:e
